age;hommes;femmes;total
0;2637;2552;5189
1;2258;2136;4394
2;2575;2381;4956
3;2830;2735;5565
4;2884;2651;5535
5;2856;2674;5530
6;2940;2692;5632
7;3028;2802;5830
8;3199;2707;5906
9;2582;2234;4816
10;3323;2984;6307
11;2474;2083;4557
12;3064;2727;5791
13;2955;2518;5473
14;2650;2432;5082
15;3020;2604;5624
16;2395;2372;4767
17;2408;2257;4665
18;2631;2575;5206
19;2047;2106;4153
20;2793;2908;5701
21;1552;1629;3181
22;2106;2275;4381
23;1821;1911;3732
24;1690;1842;3532
25;2174;2422;4596
26;1509;1602;3111
27;1402;1514;2916
28;1534;1604;3138
29;1097;1158;2255
30;2276;2441;4717
31;923;965;1888
32;1455;1372;2827
33;1208;1316;2524
34;1129;1090;2219
35;1691;1863;3554
36;1135;1181;2316
37;1119;1125;2244
38;1129;1042;2171
39;825;914;1739
40;1532;1579;3111
41;717;653;1370
42;1073;999;2072
43;747;734;1481
44;662;636;1298
45;1131;1009;2140
46;681;618;1299
47;674;685;1359
48;690;681;1371
49;520;591;1111
50;1066;1125;2191
51;439;535;974
52;626;656;1282
53;512;533;1045
54;473;465;938
55;568;641;1209
56;431;450;881
57;443;434;877
58;410;406;816
59;344;323;667
60;709;817;1526
61;303;376;679
62;475;506;981
63;394;370;764
64;300;290;590
65;403;423;826
66;281;271;552
67;272;252;524
68;242;251;493
69;195;212;407
70;445;512;957
71;183;205;388
72;254;267;521
73;163;149;312
74;135;98;233
75;171;189;360
76;100;101;201
77;120;129;249
78;98;88;186
79;49;65;114
80;151;200;351
81;52;73;125
82;85;89;174
83;55;56;111
84;40;42;82
85;38;59;97
86;33;19;52
87;29;25;54
88;19;24;43
89;19;27;46
90;34;54;88
91;8;11;19
92;18;26;44
93;12;10;22
94;9;8;17
95;12;10;22
96;10;4;14
97;5;5;10
98;3;6;9
99;43;23;66
100;6;7;13
101;1;0;1
102;1;3;4
103;0;2;2
107;1;1;2
108;1;0;1
109;1;0;1
110;1;1;2
;;;
